time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
21/Oct/2021:10:02:00,3162755,2696564,17831241,1759260,2696564,5040266,2168764,2001044,1400683,2567408,4929060,4030992,1875954,1875954,2567408,8405747,1400683,1400683,4538968,17855988,1400683,1495670,19155668,2168764,4030992,1400683,2164662,3162755,3852726,8405747,3852726,4878019,4030992,3189505,17855988,7172368,1875954,1572605,13190266,7172368,3865724,1400683,5040266,1492115,2941217,1875723,2696564,1400683,1376101,1875954
21/Oct/2021:10:02:05,2168764,8405747,1572605,1400683,8405747,4030992,4030992,4538968,2751556,8405747,1400683,4929060,1400775,4929060,3857782,20403021,4929060,4929060,17942061,1376101,2147571,8405747,3985247,3189505,4030992,2936356,2696564,2936356,17942061,2567408,13190266,2168764,2567408,2696564,1400683,2567408,20337543,2696564,4074296,3852726,4929060,4030992,3102173,2164662,2696564,20345735,20341639,2567408,1488090,3852726
21/Oct/2021:10:02:10,2712735,8405747,2205646,1875954,1759606,2696564,1875954,1492115,4387130,20341639,1400683,2567408,8405747,17433860,2164491,2567408,1945786,8405747,1400683,2168764,2100364,1572605,4929060,1376101,1400683,3241845,3672129,3852726,2147571,20341639,8405747,20345735,1875954,1492115,1400683,2206952,4929060,4538968,8405747,2751556,2737574,2147571,2168764,2751556,3162755,1492115,1759260,17855988,2696564,8405747
21/Oct/2021:10:02:15,17855988,1572605,2567408,4340420,4340420,3852726,2696564,2696564,2696564,1400683,4538968,4929060,6968607,13190266,8405747,3899082,8405747,8405747,3162755,3189505,1495670,3857782,4030992,1945786,3176600,8405747,2567408,17942061,3983099,8405747,2164662,1875954,4538968,2567408,20345735,8405747,17855988,3975430,3985247,3857782,1400683,5040266,2089950,2567408,5069727,2936356,1875954,8405747,2936356,1875954
21/Oct/2021:10:02:20,5026945,17831241,5163385,4340420,7172368,2168764,2718555,20345735,2168764,17882193,2696564,4087082,2168764,2751556,1400683,3975430,1572605,4419818,2168764,20345735,20341639,8405747,2567408,2460367,2718555,2751556,17864257,2567408,2696564,4419848,4419818,1875954,1376101,4929060,2100364,5196890,2164662,1400683,2164662,8405747,2751556,1492115,3865724,2751556,1875954,1876174,1488090,3189505,2439635,4340420
21/Oct/2021:10:02:25,3901167,4929060,2168764,2147571,2164491,4394266,1572605,1759260,4538968,3865724,2168764,4457565,20341639,6968607,2696564,17882193,4030992,4030992,5040266,4340420,1400683,1759260,20345735,3162755,1467204,8405747,5164623,8405747,8405747,17864257,4340420,1875954,4929060,1572605,17855988,4457565,2567408,4929060,4087082,4419848,1759260,1876174,3672129,1395728,5040266,2164662,2164662,2936356,2718555,1492115
21/Oct/2021:10:02:30,3975430,1875954,5069727,2751556,1400683,3189505,3852726,1400683,3857782,1376101,8405747,2751556,1758855,1400683,2567408,4419848,3852726,8405747,3189505,4929060,1491819,4340420,2164662,1400683,4419848,2751556,4030992,3162755,3162755,3189505,6968607,1467204,4419848,3189505,13091891,1875954,2168764,20341639,4929060,2737574,1875954,2567408,2166374,6000224,1395728,1875954,1488090,3975430,2164662,8405747
21/Oct/2021:10:02:35,2751556,3975430,2164662,1492017,1400683,2936356,1875954,1400775,2696564,4929060,17882193,3857782,1467204,1492017,2936356,8405747,2941217,1376101,4457565,2737574,20345735,2696564,2164662,3101029,20345735,4030992,1400683,2164662,13190266,20345735,3857782,2751556,2089950,2798429,2089950,2567408,17882193,2737574,5163385,8405747,2567408,2936356,8405747,1400683,1875954,5164623,17855988,13190266,3899082,4387130
21/Oct/2021:10:02:40,2751556,4030992,4262063,1875954,2696564,1875954,3865724,2936356,4116191,1875954,3865724,3189505,2712735,1759260,2936356,4419848,3162755,1875954,2751556,5164623,4538968,1492115,1879324,2567408,1572605,8405747,4457565,4340420,4419848,8405747,1492115,1759606,6968607,13091891,3852726,8405747,1572605,4030992,20341639,2164662,2164491,2751556,2751556,1491819,3101029,3102173,4030992,17882193,2164662,1400683
21/Oct/2021:10:02:45,7172368,17855988,4340420,4929060,17855988,5250955,4419848,4340420,4030992,2696564,2696564,20341639,1395728,2718555,3162755,6102224,2696564,17855988,2712735,2751556,1395728,1492115,8405747,2168764,4419848,4030992,2696564,4457565,4457565,1875954,17855988,4929060,1572605,1376101,20337543,3852726,2696564,8405747,4030992,13190266,1875954,4030992,2751556,4929060,20345735,4419848,2696564,3852726,2168764,3901167
