device_name,bandwidth
A83FD4CE-8816-5093-80E2-92D6A2857044,104857600
a09a4c8dd85140b2a9a4429636de3938,2791728742
0bc30e0bcba64449a9ea2aadb2375b8e,1048576000
a7ad6464e0f14b959bf8baf91ac430ef,2097152000
365e9ededf664703b55f982099acf736,2097152000
051440ee10a148289ecc0a6133db5873,891205714
eb41aec30bf24598b4c27eda67e56146,1023410176
cac06494c60b4990acd8649eca994072,1363148800
b7c4e01523c546398721397d3a637aa5,104857600
20f1697aa4dd474184d9218212a485eb,15728640000
e4f71fb5dece443e8acc3dd2b229e625,1048576000
e7bdf87c8efb4d7597aef71dc12ab2d9,3145728000
2acf99d8836c490c892e10d3f0218d37,2097152
a545cb7d468a458696582606fc9337de,1008243573
85ca7569bf7e4267847731fd81a6cbf1,2097152000
4b8e68246fe740e4a7446b0d2c850e31,2097152000
a7761e686dd249fe807a5034665e2d89,2097152000
aa9827047f604d0c99eda7081d5292d3,1468006400
33c56b5e57514a179e64ff5585cd3ed6,2516582400
e7b01b1c114a40f18370ec2ec6f88ce6,4294967296
8f7b68f5497e4d2ab46642436e70e21b,31457280
c605f99f9d1d4326aa85538d04594fdf,692060160
440e7145f09b4467951f4516be70f105,1572864000
a23ba010337c479ab61696ce0efe0dbd,1572864000
426560bea5aa49f5bf7353d97268890d,314572800
e81e6c5c1f5a4847b2a6a8346deb8ed8,901943132
d4b2c1e5068f4d9ab673f55eacf5e2c4,838860800
17ecd8a5f4444cf095beb3257695acf1,692060160
82b5d6092cb2480e8ce2c7d2d72eb6af,692060160
5eef41d60b9f4aa1bb2c929e1cbeb975,20971520000
7fbed8b2452841cfb25782e41a3fce08,2963527434
74c17a6cd6b949179c0d568e95e3e17b,692060160
0348bcca00ed493bad7a54632c270a2b,692060160
b94c183df9cb43a887702f24e02b2b77,692060160
07faacd649614deda364d257e064c0fa,692060160
53748b2d93b24deb8e4089b0b454f914,692060160
7ab1b1413e33407a833ba6b0dfc12cb7,1610612736
5014ab8654f74b9ca889b2609243c11c,1677721600
7d00bc7c84ae4c1ba49639000305933e,2097152000
1765cb3402844e65bfa6654b092250b2,692060160
c078ac0afb304fc596252cde79040622,246960620
e3d701ed7a9d43d1acee05822d510b51,2096103424
2232b06a04f74bfca0d66bd02f40578c,1048576000
4d39876452764e828cc717e064b46d4b,1730150400
101c34b457274bc0afe877e104db70e6,1786745088
7b231cb468fc46c7b029eaf2b0795817,2362232013
3904d47092ff452ba057244ee75c8bc5,3145728000
6443c1044d5a449493454cfc60508061,4194304000
92c4432c0409434385272b253770f5ab,1073741824
0bfcb498cbd4468886618eec282b4831,1048576000
4621952dcde543a9853875e81366bac1,2097152000
ab86b634f7c844bbbf5922fd9f5ed280,734003200
00042bda639c4f4686f9cd4a63ae5d22,1073741824
959447a9880244c4926d92fdb8802f43,1048576000
ba7765c7acb5405ca7e6db8ea796aeb7,2097152000
3e8eec1e394a4c53a7eba5f2ca99379e,1073741824
7ef54e33f2344c56a4d3b7a02865c029,2097152000
d0acc773de924f51b139e5e91f2a82c2,985661440
